Source,Target,Weight,Type
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,HenryLivingstonJr_A Tenant of Mrs Van Kleeck,2,undirected
ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,HenryLivingstonJr_Letter Sent to Master Timmy Dwight,2,undirected
ClementClarkeMoore_Cowper the Poet,ClementClarkeMoore_A Trip to Saratoga,11,undirected
ClementClarkeMoore_Cowper the Poet,ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,11,undirected
ClementClarkeMoore_Cowper the Poet,ClementClarkeMoore_Lines on the Sisters of Charity,3,undirected
ClementClarkeMoore_Cowper the Poet,ClementClarkeMoore_Lines written after a season of Yellow Fever,2,undirected
ClementClarkeMoore_Cowper the Poet,ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,5,undirected
ClementClarkeMoore_Cowper the Poet,ClementClarkeMoore_To the Nymphs of Mount Harmony,5,undirected
ClementClarkeMoore_Cowper the Poet,ClementClarkeMoore_To Young Ladies who attended Philosophical Lectures,4,undirected
ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,2,undirected
ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,ClementClarkeMoore_Lines on the Sisters of Charity,12,undirected
ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,ClementClarkeMoore_Lines written after a season of Yellow Fever,10,undirected
ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,ClementClarkeMoore_The Organist,1,undirected
ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,ClementClarkeMoore_To my Children, with my Potrait,6,undirected
ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,ClementClarkeMoore_To Southey,2,undirected
ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,2,undirected
ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,ClementClarkeMoore_To the Nymphs of Mount Harmony,8,undirected
ClementClarkeMoore_From a Husband to his Wife,ClementClarkeMoore_A Song,4,undirected
ClementClarkeMoore_From a Husband to his Wife,ClementClarkeMoore_A Trip to Saratoga,6,undirected
ClementClarkeMoore_From a Husband to his Wife,ClementClarkeMoore_Lines on the Sisters of Charity,2,undirected
ClementClarkeMoore_From a Husband to his Wife,ClementClarkeMoore_The Water Drinker,1,undirected
ClementClarkeMoore_From a Husband to his Wife,ClementClarkeMoore_To my Children, with my Potrait,2,undirected
ClementClarkeMoore_From a Husband to his Wife,ClementClarkeMoore_To my Daughter, on her marriage,8,undirected
ClementClarkeMoore_From a Husband to his Wife,ClementClarkeMoore_To Southey,17,undirected
ClementClarkeMoore_From a Husband to his Wife,ClementClarkeMoore_To the Nymphs of Mount Harmony,2,undirected
ClementClarkeMoore_Lines accompanying a Bunch of Flowers,ClementClarkeMoore_The Water Drinker,3,undirected
ClementClarkeMoore_Lines accompanying a Bunch of Flowers,ClementClarkeMoore_The Wine Drinker,1,undirected
ClementClarkeMoore_Lines accompanying a Bunch of Flowers,ClementClarkeMoore_To Petrosa,1,undirected
ClementClarkeMoore_Lines accompanying a Bunch of Flowers,ClementClarkeMoore_To Southey,10,undirected
ClementClarkeMoore_Lines accompanying a Bunch of Flowers,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,7,undirected
ClementClarkeMoore_Lines accompanying a Bunch of Flowers,HenryLivingstonJr_Acrostic Eliza Hughes,3,undirected
ClementClarkeMoore_Lines accompanying a Bunch of Flowers,HenryLivingstonJr_On My Sister Joanna Entrance Into Her 33rd Year,2,undirected
ClementClarkeMoore_Lines accompanying a Bunch of Flowers,HenryLivingstonJr_The Procession,6,undirected
ClementClarkeMoore_Lines accompanying a Bunch of Flowers,HenryLivingstonJr_The Vine & Oak A Fable,3,undirected
ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,2,undirected
ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,ClementClarkeMoore_Lines on the Sisters of Charity,1,undirected
ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,ClementClarkeMoore_The Organist,10,undirected
ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,ClementClarkeMoore_The Wine Drinker,1,undirected
ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,16,undirected
ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,ClementClarkeMoore_To Young Ladies who attended Philosophical Lectures,6,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_A Song,7,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_A Trip to Saratoga,7,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_Cowper the Poet,3,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,12,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_From a Husband to his Wife,2,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,1,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_Lines written after a season of Yellow Fever,6,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,10,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_The Water Drinker,1,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_The Wine Drinker,1,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_To a Lady,9,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_To a Young Lady, on her Birth-Day,3,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_To my Children, with my Potrait,15,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_To my Daughter, on her marriage,26,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_To Southey,4,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,13,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,HenryLivingstonJr_An Elegy on the Death of Montgomery Tappen,5,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,HenryLivingstonJr_Hiding Place,2,undirected
ClementClarkeMoore_Lines on the Sisters of Charity,HenryLivingstonJr_The IX Ode to Horace,2,undirected
ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,ClementClarkeMoore_Lines written after a season of Yellow Fever,13,undirected
ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,ClementClarkeMoore_Old Dobbin,2,undirected
ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,1,undirected
ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,ClementClarkeMoore_The Water Drinker,3,undirected
ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,ClementClarkeMoore_The Wine Drinker,2,undirected
ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,ClementClarkeMoore_To the Nymphs of Mount Harmony,16,undirected
ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,HenryLivingstonJr_To the Memory of Henry Welles Livingston,2,undirected
ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,ClementClarkeMoore_A Trip to Saratoga,2,undirected
ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,ClementClarkeMoore_Lines written after a season of Yellow Fever,3,undirected
ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,ClementClarkeMoore_The Mischievous Muse,8,undirected
ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,ClementClarkeMoore_The Organist,7,undirected
ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,ClementClarkeMoore_The Wine Drinker,5,undirected
ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,ClementClarkeMoore_To Southey,9,undirected
ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,HenryLivingstonJr_The Crane & The Fox, a Fable,2,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_A Trip to Saratoga,6,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_Cowper the Poet,2,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,10,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_Lines on the Sisters of Charity,6,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,13,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,3,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_Lines Written After a Snow-storm,1,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_The Mischievous Muse,33,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_The Pig and the Rooster,2,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_The Wine Drinker,7,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_To a Lady,9,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_To my Daughter, on her marriage,12,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_To Southey,6,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,17,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_To the Nymphs of Mount Harmony,1,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,ClementClarkeMoore_To Young Ladies who attended Philosophical Lectures,3,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,HenryLivingstonJr_Apostrophe,3,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,HenryLivingstonJr_The Procession,7,undirected
ClementClarkeMoore_Lines written after a season of Yellow Fever,HenryLivingstonJr_The Vine & Oak A Fable,18,undirected
ClementClarkeMoore_Lines Written After a Snow-storm,ClementClarkeMoore_A Trip to Saratoga,1,undirected
ClementClarkeMoore_Lines Written After a Snow-storm,ClementClarkeMoore_Lines written after a season of Yellow Fever,1,undirected
ClementClarkeMoore_Lines Written After a Snow-storm,ClementClarkeMoore_The Mischievous Muse,2,undirected
ClementClarkeMoore_Lines Written After a Snow-storm,ClementClarkeMoore_To my Daughter, on her marriage,11,undirected
ClementClarkeMoore_Lines Written After a Snow-storm,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,6,undirected
ClementClarkeMoore_Lines Written After a Snow-storm,HenryLivingstonJr_Apostrophe,3,undirected
ClementClarkeMoore_Lines Written After a Snow-storm,HenryLivingstonJr_The Vine & Oak A Fable,12,undirected
ClementClarkeMoore_Old Dobbin,ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,2,undirected
ClementClarkeMoore_Old Dobbin,ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,7,undirected
ClementClarkeMoore_Old Dobbin,ClementClarkeMoore_To the Nymphs of Mount Harmony,12,undirected
ClementClarkeMoore_Old Dobbin,HenryLivingstonJr_Apostrophe,6,undirected
ClementClarkeMoore_Old Dobbin,HenryLivingstonJr_On My Sister Joanna Entrance Into Her 33rd Year,5,undirected
ClementClarkeMoore_Old Dobbin,HenryLivingstonJr_The Vine & Oak A Fable,12,undirected
ClementClarkeMoore_Old Dobbin,HenryLivingstonJr_To My Little Niece Sally Livingston,1,undirected
ClementClarkeMoore_Old Dobbin,HenryLivingstonJr_To the Memory of Sarah Livingston,1,undirected
ClementClarkeMoore_Old Santeclaus,ClementClarkeMoore_A Song,3,undirected
ClementClarkeMoore_Old Santeclaus,ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,1,undirected
ClementClarkeMoore_Old Santeclaus,ClementClarkeMoore_The Water Drinker,2,undirected
ClementClarkeMoore_Old Santeclaus,ClementClarkeMoore_To Southey,4,undirected
ClementClarkeMoore_Old Santeclaus,ClementClarkeMoore_To the Nymphs of Mount Harmony,16,undirected
ClementClarkeMoore_Old Santeclaus,HenryLivingstonJr_On My Sister Joanna Entrance Into Her 33rd Year,8,undirected
ClementClarkeMoore_Old Santeclaus,HenryLivingstonJr_The Vine & Oak A Fable,7,undirected
ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,ClementClarkeMoore_Lines on the Sisters of Charity,10,undirected
ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,ClementClarkeMoore_Old Santeclaus,1,undirected
ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,ClementClarkeMoore_The Water Drinker,11,undirected
ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,ClementClarkeMoore_To my Children, with my Potrait,9,undirected
ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,ClementClarkeMoore_To the Nymphs of Mount Harmony,10,undirected
ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,HenryLivingstonJr_The Dance,2,undirected
ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,HenryLivingstonJr_The IX Ode to Horace,4,undirected
ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,ClementClarkeMoore_Cowper the Poet,5,undirected
ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,1,undirected
ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,ClementClarkeMoore_Old Dobbin,7,undirected
ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,ClementClarkeMoore_To the Nymphs of Mount Harmony,2,undirected
ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,HenryLivingstonJr_Acrostic Eliza Hughes,6,undirected
ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,HenryLivingstonJr_Catharine Breese Livingston,10,undirected
ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,HenryLivingstonJr_To My Little Niece Anne Duyckinck,3,undirected
ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,HenryLivingstonJr_To the Memory of Sarah Livingston,2,undirected
ClementClarkeMoore_The Mischievous Muse,ClementClarkeMoore_A Trip to Saratoga,3,undirected
ClementClarkeMoore_The Mischievous Muse,ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,8,undirected
ClementClarkeMoore_The Mischievous Muse,ClementClarkeMoore_Lines written after a season of Yellow Fever,33,undirected
ClementClarkeMoore_The Mischievous Muse,ClementClarkeMoore_Lines Written After a Snow-storm,2,undirected
ClementClarkeMoore_The Mischievous Muse,ClementClarkeMoore_The Pig and the Rooster,1,undirected
ClementClarkeMoore_The Mischievous Muse,ClementClarkeMoore_The Water Drinker,3,undirected
ClementClarkeMoore_The Mischievous Muse,ClementClarkeMoore_The Wine Drinker,1,undirected
ClementClarkeMoore_The Mischievous Muse,ClementClarkeMoore_To a Young Lady, on her Birth-Day,1,undirected
ClementClarkeMoore_The Mischievous Muse,ClementClarkeMoore_To the Nymphs of Mount Harmony,10,undirected
ClementClarkeMoore_The Mischievous Muse,HenryLivingstonJr_Acknowledgement,1,undirected
ClementClarkeMoore_The Mischievous Muse,HenryLivingstonJr_Hiding Place,2,undirected
ClementClarkeMoore_The Mischievous Muse,HenryLivingstonJr_The Procession,9,undirected
ClementClarkeMoore_The Mischievous Muse,HenryLivingstonJr_The Vine & Oak A Fable,7,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_A Trip to Saratoga,8,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,1,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,10,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,7,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_The Pig and the Rooster,3,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_The Wine Drinker,16,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_To Petrosa,2,undirected
ClementClarkeMoore_The Organist,ClementClarkeMoore_To Southey,19,undirected
ClementClarkeMoore_The Organist,HenryLivingstonJr_On My Sister Joanna Entrance Into Her 33rd Year,2,undirected
ClementClarkeMoore_The Pig and the Rooster,ClementClarkeMoore_A Trip to Saratoga,18,undirected
ClementClarkeMoore_The Pig and the Rooster,ClementClarkeMoore_Lines written after a season of Yellow Fever,2,undirected
ClementClarkeMoore_The Pig and the Rooster,ClementClarkeMoore_The Mischievous Muse,1,undirected
ClementClarkeMoore_The Pig and the Rooster,ClementClarkeMoore_The Organist,3,undirected
ClementClarkeMoore_The Pig and the Rooster,ClementClarkeMoore_To my Daughter, on her marriage,1,undirected
ClementClarkeMoore_The Pig and the Rooster,ClementClarkeMoore_To Southey,2,undirected
ClementClarkeMoore_The Pig and the Rooster,ClementClarkeMoore_To the Nymphs of Mount Harmony,9,undirected
ClementClarkeMoore_The Pig and the Rooster,MooreLivingstone_A Visit from St Nicholas,1,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_A Trip to Saratoga,21,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_From a Husband to his Wife,1,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_Lines accompanying a Bunch of Flowers,3,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_Lines on the Sisters of Charity,1,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,3,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_Old Santeclaus,2,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,11,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_The Mischievous Muse,3,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_The Wine Drinker,28,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_To a Young Lady, on her Birth-Day,14,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_To Southey,7,undirected
ClementClarkeMoore_The Water Drinker,ClementClarkeMoore_To the Nymphs of Mount Harmony,21,undirected
ClementClarkeMoore_The Water Drinker,HenryLivingstonJr_A Tenant of Mrs Van Kleeck,2,undirected
ClementClarkeMoore_The Water Drinker,HenryLivingstonJr_Acknowledgement,14,undirected
ClementClarkeMoore_The Water Drinker,HenryLivingstonJr_On My Sister Joanna Entrance Into Her 33rd Year,1,undirected
ClementClarkeMoore_The Water Drinker,HenryLivingstonJr_The Crane & The Fox, a Fable,1,undirected
ClementClarkeMoore_The Water Drinker,HenryLivingstonJr_The Vine & Oak A Fable,1,undirected
ClementClarkeMoore_The Water Drinker,HenryLivingstonJr_To the Memory of Henry Welles Livingston,1,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_A Trip to Saratoga,36,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,24,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_Lines accompanying a Bunch of Flowers,1,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_Lines accompanying some Balls made for a Fragment Fair,1,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_Lines on the Sisters of Charity,1,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,2,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_Lines to a Young Lady for Valentine's Day,5,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_Lines written after a season of Yellow Fever,7,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_The Mischievous Muse,1,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_The Organist,16,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_The Water Drinker,28,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_To a Lady,14,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_To a Young Lady, on her Birth-Day,1,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,4,undirected
ClementClarkeMoore_The Wine Drinker,ClementClarkeMoore_To Young Ladies who attended Philosophical Lectures,18,undirected
ClementClarkeMoore_The Wine Drinker,HenryLivingstonJr_A Tenant of Mrs Van Kleeck,15,undirected
ClementClarkeMoore_To a Lady,ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,2,undirected
ClementClarkeMoore_To a Lady,ClementClarkeMoore_Lines on the Sisters of Charity,9,undirected
ClementClarkeMoore_To a Lady,ClementClarkeMoore_Lines written after a season of Yellow Fever,9,undirected
ClementClarkeMoore_To a Lady,ClementClarkeMoore_The Wine Drinker,14,undirected
ClementClarkeMoore_To a Lady,ClementClarkeMoore_To my Children, with my Potrait,1,undirected
ClementClarkeMoore_To a Lady,ClementClarkeMoore_To Petrosa,1,undirected
ClementClarkeMoore_To a Lady,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,2,undirected
ClementClarkeMoore_To a Lady,HenryLivingstonJr_A Tenant of Mrs Van Kleeck,3,undirected
ClementClarkeMoore_To a Lady,HenryLivingstonJr_The IX Ode to Horace,6,undirected
ClementClarkeMoore_To a Young Lady, on her Birth-Day,ClementClarkeMoore_Lines on the Sisters of Charity,3,undirected
ClementClarkeMoore_To a Young Lady, on her Birth-Day,ClementClarkeMoore_The Mischievous Muse,1,undirected
ClementClarkeMoore_To a Young Lady, on her Birth-Day,ClementClarkeMoore_The Water Drinker,14,undirected
ClementClarkeMoore_To a Young Lady, on her Birth-Day,ClementClarkeMoore_The Wine Drinker,1,undirected
ClementClarkeMoore_To a Young Lady, on her Birth-Day,ClementClarkeMoore_To my Children, with my Potrait,2,undirected
ClementClarkeMoore_To a Young Lady, on her Birth-Day,ClementClarkeMoore_To the Nymphs of Mount Harmony,12,undirected
ClementClarkeMoore_To a Young Lady, on her Birth-Day,HenryLivingstonJr_To the Memory of Sarah Livingston,3,undirected
ClementClarkeMoore_To my Children, with my Potrait,ClementClarkeMoore_Apology for not accepting an Invitation to a Ball,5,undirected
ClementClarkeMoore_To my Children, with my Potrait,ClementClarkeMoore_Farewell In answer to a young lady's invitation to join a party of pleasure on an excursion to the country,6,undirected
ClementClarkeMoore_To my Children, with my Potrait,ClementClarkeMoore_From a Husband to his Wife,2,undirected
ClementClarkeMoore_To my Children, with my Potrait,ClementClarkeMoore_Lines on the Sisters of Charity,15,undirected
ClementClarkeMoore_To my Children, with my Potrait,ClementClarkeMoore_On receiving from a friend a Caricature cast of Paganini,9,undirected
ClementClarkeMoore_To my Children, with my Potrait,ClementClarkeMoore_To a Lady,1,undirected
ClementClarkeMoore_To my Children, with my Potrait,ClementClarkeMoore_To a Young Lady, on her Birth-Day,2,undirected
ClementClarkeMoore_To my Children, with my Potrait,HenryLivingstonJr_An Elegy on the Death of Montgomery Tappen,2,undirected
ClementClarkeMoore_To my Daughter, on her marriage,ClementClarkeMoore_A Trip to Saratoga,9,undirected
ClementClarkeMoore_To my Daughter, on her marriage,ClementClarkeMoore_From a Husband to his Wife,8,undirected
ClementClarkeMoore_To my Daughter, on her marriage,ClementClarkeMoore_Lines on the Sisters of Charity,26,undirected
